[10/03/2026 12:19:46] Target: Song | Action/Path: delete | User: 6 | Duration: 1ms
[10/03/2026 12:19:46] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[10/03/2026 12:19:46] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[10/03/2026 12:21:28] Target: Song | Action/Path: update | User: 6 | Duration: 3ms
[10/03/2026 12:21:28] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[10/03/2026 12:21:28] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[10/03/2026 12:22:01] Target: Song | Action/Path: Create | User: 6 | Duration: 3ms
[10/03/2026 12:22:01] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[10/03/2026 12:22:01] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[10/03/2026 12:32:11] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 6 | Duration: 0ms
[10/03/2026 12:16:57] Target: Non-Controller | Action/Path: /activityHub | User: 6 | Duration: 913601ms
[10/03/2026 19:09:25] Target: Non-Controller | Action/Path: /_framework/aspnetcore-browser-refresh.js | User: Guest | Duration: 0ms
[10/03/2026 19:09:58] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[10/03/2026 19:10:03] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[10/03/2026 19:12:12] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[10/03/2026 19:13:47] Target: Loggin | Action/Path: GoogleLogin | User: Guest | Duration: 1360ms
[10/03/2026 19:13:48] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[10/03/2026 19:13:48] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 109241057808226769932 | Duration: 8ms
[10/03/2026 19:13:52] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[10/03/2026 19:13:48] Target: Non-Controller | Action/Path: /activityHub | User: 109241057808226769932 | Duration: 3682ms
[10/03/2026 19:13:52] Target: User | Action/Path: Get | User: 109241057808226769932 | Duration: 61ms
[10/03/2026 19:13:54] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[10/03/2026 19:13:54] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 109241057808226769932 | Duration: 2ms
[10/03/2026 19:13:54] Target: Non-Controller | Action/Path: /activityHub | User: 109241057808226769932 | Duration: 600633ms
[10/03/2026 19:23:55] Target: User | Action/Path: Get | User: 109241057808226769932 | Duration: 0ms
[10/03/2026 19:23:55] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[10/03/2026 19:24:34] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[10/03/2026 19:24:34] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 109241057808226769932 | Duration: 0ms
[10/03/2026 19:36:36] Target: Non-Controller | Action/Path: /_framework/aspnetcore-browser-refresh.js | User: Guest | Duration: 0ms
[10/03/2026 19:36:41] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 109241057808226769932 | Duration: 4ms
[10/03/2026 19:36:49] Target: Loggin | Action/Path: GoogleLogin | User: Guest | Duration: 718ms
[10/03/2026 19:36:49] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 11 | Duration: 0ms
[10/03/2026 19:36:49] Target: Song | Action/Path: Get | User: 11 | Duration: 36ms
[10/03/2026 19:36:49] Target: Song | Action/Path: Get | User: 11 | Duration: 1ms
[10/03/2026 19:36:53] Target: User | Action/Path: Get | User: 11 | Duration: 10ms
