[14/03/2026 20:55:31] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 0ms
[14/03/2026 20:55:31] Target: Song | Action/Path: Get | User: 7 | Duration: 0ms
[14/03/2026 20:55:31] Target: Song | Action/Path: Get | User: 7 | Duration: 0ms
[14/03/2026 20:55:31] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 2520ms
[14/03/2026 20:53:28] Target: Non-Controller | Action/Path: /activityHub | User: 6 | Duration: 125853ms
[14/03/2026 20:53:50] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 104050ms
[14/03/2026 20:53:27] Target: Non-Controller | Action/Path: /activityHub | User: 11 | Duration: 126873ms
[15/03/2026 00:54:44] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 0ms
[15/03/2026 00:54:44] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 1832925ms
[15/03/2026 01:31:49] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 0ms
[15/03/2026 01:31:49] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 915193ms
[15/03/2026 01:47:05] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 0ms
[15/03/2026 01:47:05] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 282837ms
[15/03/2026 01:51:48] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 0ms
[15/03/2026 01:51:48] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 625195ms
[15/03/2026 10:20:26] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 0ms
[15/03/2026 10:24:37] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 3ms
[15/03/2026 10:24:37] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 6 | Duration: 0ms
[15/03/2026 10:24:39] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 11 | Duration: 0ms
[15/03/2026 10:24:39] Target: Non-Controller | Action/Path: /activityHub | User: 11 | Duration: 13403ms
[15/03/2026 10:24:37] Target: Non-Controller | Action/Path: /activityHub | User: 6 | Duration: 15346ms
[15/03/2026 10:24:37] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 16996ms
[15/03/2026 10:24:55] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 0ms
[15/03/2026 10:24:55] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 2609ms
[15/03/2026 10:25:03] Target: Loggin | Action/Path: Login | User: Guest | Duration: 57ms
[15/03/2026 10:25:03] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 0ms
[15/03/2026 10:25:03] Target: Song | Action/Path: Get | User: 7 | Duration: 15ms
[15/03/2026 10:25:03] Target: Song | Action/Path: Get | User: 7 | Duration: 1ms
[15/03/2026 10:25:03] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 47227ms
[15/03/2026 10:25:50] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 0ms
[15/03/2026 10:25:50] Target: Song | Action/Path: Get | User: 7 | Duration: 4ms
