[16/03/2026 10:41:22] Target: Non-Controller | Action/Path: /favicon.ico | User: Guest | Duration: 0ms
[16/03/2026 10:42:25] Target: Loggin | Action/Path: Login | User: Guest | Duration: 115ms
[16/03/2026 10:42:25] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 6 | Duration: 1ms
[16/03/2026 10:42:25] Target: Song | Action/Path: Get | User: 6 | Duration: 3ms
[16/03/2026 10:42:25] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 10:42:31] Target: User | Action/Path: GetCurrentUser | User: 6 | Duration: 8ms
[16/03/2026 10:42:41] Target: User | Action/Path: update | User: 6 | Duration: 42ms
[16/03/2026 10:42:25] Target: Non-Controller | Action/Path: /activityHub | User: 6 | Duration: 29327ms
[16/03/2026 10:42:54] Target: User | Action/Path: GetAll | User: 6 | Duration: 2ms
[16/03/2026 10:43:29] Target: User | Action/Path: update | User: 6 | Duration: 49ms
[16/03/2026 10:43:29] Target: User | Action/Path: GetAll | User: 6 | Duration: 0ms
[16/03/2026 10:43:45] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 6 | Duration: 0ms
[16/03/2026 10:43:45] Target: Song | Action/Path: Get | User: 6 | Duration: 1ms
[16/03/2026 10:43:45] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 10:44:07] Target: Loggin | Action/Path: Login | User: Guest | Duration: 21ms
[16/03/2026 10:43:45] Target: Non-Controller | Action/Path: /activityHub | User: 6 | Duration: 29363ms
[16/03/2026 10:44:15] Target: User | Action/Path: GetAll | User: 6 | Duration: 0ms
[16/03/2026 10:44:34] Target: Loggin | Action/Path: Login | User: Guest | Duration: 1ms
[16/03/2026 10:44:34] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 5 | Duration: 0ms
[16/03/2026 10:44:34] Target: Song | Action/Path: Get | User: 5 | Duration: 0ms
[16/03/2026 10:44:34] Target: Song | Action/Path: Get | User: 5 | Duration: 0ms
[16/03/2026 10:44:38] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 6 | Duration: 0ms
[16/03/2026 10:44:38] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 10:44:38] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 10:44:56] Target: User | Action/Path: GetCurrentUser | User: 6 | Duration: 0ms
[16/03/2026 10:44:38] Target: Non-Controller | Action/Path: /activityHub | User: 6 | Duration: 22763ms
[16/03/2026 10:45:01] Target: User | Action/Path: GetAll | User: 6 | Duration: 0ms
[16/03/2026 10:45:21] Target: User | Action/Path: Create | User: 6 | Duration: 41ms
[16/03/2026 10:45:21] Target: User | Action/Path: GetAll | User: 6 | Duration: 0ms
[16/03/2026 10:45:54] Target: Loggin | Action/Path: Login | User: Guest | Duration: 1ms
[16/03/2026 10:45:54] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 11 | Duration: 0ms
[16/03/2026 10:45:54] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[16/03/2026 10:45:54] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[16/03/2026 10:46:15] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 6 | Duration: 0ms
[16/03/2026 10:46:15] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 10:46:15] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 10:46:19] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 10:46:19] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[16/03/2026 10:46:19] Target: Song | Action/Path: delete | User: 6 | Duration: 43ms
[16/03/2026 10:46:19] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 10:46:33] Target: Song | Action/Path: Create | User: 11 | Duration: 36ms
[16/03/2026 10:46:33] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[16/03/2026 10:46:33] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 10:46:33] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[16/03/2026 11:10:59] Target: User | Action/Path: GetCurrentUser | User: 11 | Duration: 0ms
[16/03/2026 11:11:06] Target: User | Action/Path: update | User: 11 | Duration: 26ms
[16/03/2026 11:11:27] Target: Loggin | Action/Path: Login | User: Guest | Duration: 0ms
[16/03/2026 11:11:27] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 11 | Duration: 0ms
[16/03/2026 11:11:27] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[16/03/2026 11:11:27] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[16/03/2026 11:11:36] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[16/03/2026 11:11:36] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 11:11:36] Target: Song | Action/Path: update | User: 11 | Duration: 28ms
[16/03/2026 11:11:36] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[16/03/2026 11:11:36] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[16/03/2026 21:43:47] Target: Non-Controller | Action/Path: /favicon.ico | User: Guest | Duration: 0ms
[16/03/2026 21:43:59] Target: Loggin | Action/Path: GoogleLogin | User: Guest | Duration: 1898ms
[16/03/2026 21:44:01] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 12 | Duration: 5ms
[16/03/2026 21:44:01] Target: Song | Action/Path: Get | User: 12 | Duration: 9ms
[16/03/2026 21:44:01] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[16/03/2026 21:44:08] Target: Song | Action/Path: Create | User: 12 | Duration: 36ms
[16/03/2026 21:44:08] Target: Song | Action/Path: Get | User: 12 | Duration: 1ms
[16/03/2026 21:44:08] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[16/03/2026 21:44:11] Target: User | Action/Path: GetCurrentUser | User: 12 | Duration: 10ms
[16/03/2026 21:44:19] Target: User | Action/Path: update | User: 12 | Duration: 36ms
[16/03/2026 21:44:42] Target: Loggin | Action/Path: Login | User: Guest | Duration: 113ms
[16/03/2026 21:44:57] Target: Loggin | Action/Path: Login | User: Guest | Duration: 4ms
[16/03/2026 21:44:57] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 6 | Duration: 0ms
[16/03/2026 21:44:57] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 21:44:57] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 21:45:28] Target: Loggin | Action/Path: Login | User: Guest | Duration: 1ms
[16/03/2026 21:45:29] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 12 | Duration: 0ms
[16/03/2026 21:45:29] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[16/03/2026 21:45:29] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[16/03/2026 21:45:50] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[16/03/2026 21:45:50] Target: Song | Action/Path: update | User: 12 | Duration: 36ms
[16/03/2026 21:45:50] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[16/03/2026 21:45:50] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[16/03/2026 21:45:50] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 21:46:00] Target: Song | Action/Path: Create | User: 12 | Duration: 7ms
[16/03/2026 21:46:00] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[16/03/2026 21:46:00] Target: Song | Action/Path: Get | User: 12 | Duration: 7ms
[16/03/2026 21:46:00] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 21:46:00] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[16/03/2026 21:46:19] Target: User | Action/Path: GetAll | User: 6 | Duration: 4ms
[16/03/2026 21:44:57] Target: Non-Controller | Action/Path: /activityHub | User: 6 | Duration: 81337ms
[16/03/2026 21:46:27] Target: User | Action/Path: update | User: 6 | Duration: 11ms
[16/03/2026 21:46:27] Target: User | Action/Path: GetAll | User: 6 | Duration: 0ms
[16/03/2026 21:46:32] Target: User | Action/Path: GetCurrentUser | User: 6 | Duration: 0ms
[16/03/2026 21:46:47] Target: User | Action/Path: update | User: 6 | Duration: 19ms
[16/03/2026 21:46:54] Target: User | Action/Path: GetAll | User: 6 | Duration: 0ms
[16/03/2026 21:46:55] Target: User | Action/Path: GetAll | User: 6 | Duration: 0ms
[16/03/2026 21:47:02] Target: User | Action/Path: GetCurrentUser | User: 6 | Duration: 0ms
[16/03/2026 21:47:07] Target: User | Action/Path: GetCurrentUser | User: 6 | Duration: 0ms
[16/03/2026 21:47:24] Target: User | Action/Path: update | User: 6 | Duration: 6ms
[16/03/2026 21:47:50] Target: User | Action/Path: update | User: 6 | Duration: 5ms
[16/03/2026 21:47:50] Target: User | Action/Path: GetAll | User: 6 | Duration: 0ms
[16/03/2026 21:48:54] Target: User | Action/Path: GetCurrentUser | User: 12 | Duration: 0ms
[16/03/2026 21:49:00] Target: User | Action/Path: update | User: 12 | Duration: 5ms
[16/03/2026 21:49:12] Target: User | Action/Path: GetAll | User: 6 | Duration: 0ms
[16/03/2026 21:44:01] Target: Non-Controller | Action/Path: /activityHub | User: 12 | Duration: 433747ms
[16/03/2026 21:53:23] Target: User | Action/Path: GetAll | User: 6 | Duration: 57ms
[16/03/2026 21:53:24] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 12 | Duration: 6ms
[16/03/2026 21:53:27] Target: User | Action/Path: GetCurrentUser | User: 6 | Duration: 5ms
[16/03/2026 21:53:32] Target: User | Action/Path: update | User: 6 | Duration: 69ms
[16/03/2026 21:53:40] Target: User | Action/Path: GetAll | User: 6 | Duration: 0ms
[16/03/2026 21:53:51] Target: User | Action/Path: GetCurrentUser | User: 12 | Duration: 0ms
[16/03/2026 21:54:03] Target: User | Action/Path: update | User: 12 | Duration: 8ms
[16/03/2026 21:54:13] Target: User | Action/Path: update | User: 12 | Duration: 4ms
[16/03/2026 21:54:19] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 12 | Duration: 0ms
[16/03/2026 21:54:19] Target: Song | Action/Path: Get | User: 12 | Duration: 22ms
[16/03/2026 21:54:19] Target: Song | Action/Path: Get | User: 12 | Duration: 5ms
[16/03/2026 21:53:24] Target: Non-Controller | Action/Path: /activityHub | User: 12 | Duration: 54409ms
[16/03/2026 21:54:24] Target: User | Action/Path: GetAll | User: 6 | Duration: 0ms
[16/03/2026 21:54:30] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 12 | Duration: 0ms
[16/03/2026 21:54:40] Target: Song | Action/Path: delete | User: 12 | Duration: 61ms
[16/03/2026 21:54:40] Target: Song | Action/Path: Get | User: 12 | Duration: 7ms
[16/03/2026 21:54:40] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[16/03/2026 21:54:40] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[16/03/2026 21:54:54] Target: User | Action/Path: delete | User: 6 | Duration: 8ms
[16/03/2026 21:54:55] Target: User | Action/Path: GetAll | User: 6 | Duration: 0ms
[16/03/2026 21:54:57] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 6 | Duration: 0ms
[16/03/2026 21:54:57] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 21:54:57] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[16/03/2026 21:59:41] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 12 | Duration: 4ms
[16/03/2026 21:59:41] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 12 | Duration: 4ms
[16/03/2026 21:59:41] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 6 | Duration: 4ms
[16/03/2026 21:59:41] Target: Non-Controller | Action/Path: /activityHub | User: 12 | Duration: 30419ms
[16/03/2026 22:00:25] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 12 | Duration: 0ms
[16/03/2026 21:59:41] Target: Non-Controller | Action/Path: /activityHub | User: 12 | Duration: 62412ms
[16/03/2026 21:59:41] Target: Non-Controller | Action/Path: /activityHub | User: 6 | Duration: 62411ms
[16/03/2026 22:00:25] Target: Non-Controller | Action/Path: /activityHub | User: 12 | Duration: 330663ms
